rubronombre,n,nivel2,nivel1
Fabricación y reparación de acondicionadores de aire,5,fabricacion,industria y deposito
"Publicidad realizada por medio de carteles, pantallas y paneles luminosos, iluminados, electrónicos, mecánicos y similares. Con una superficie de 10,01 hasta 25 metros cuadrados por cartel. La cantidad de metros a declarar en éste subrubro, se refiere a l",5,otro,otro
Fundición de metales no ferrosos,5,otro,otro
FABRICACIÓN DE PRODUCTOS DE LABORATORIO Y PRODUCTOS BOTÁNICOS DE USO FARMACEÚTICO N.C.P.,5,fabricacion,industria y deposito
VENTA AL POR MAYOR DE BICICLETAS Y RODADOS SIMILARES,5,mayorista,industria y deposito
Producción de películas cinematográficas y de televisión,5,otro,otro
"Construcción y reparación de embarcaciones, incluye buques, yates, veleros, botes,  Astilleros",5,otro,otro
Elaboración y molienda de yerba mate (incluye concentrados),5,alimentos_otros,alimentos
SERVICIO COMBINADO DE APOYO A EDIFICIOS,5,otro,otro
Editoriales sin imprenta,5,fotocopias,servicios personales
"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PROD. TEXTILES, PRENDAS DE VESTIR, CALZADO EXCEPTO EL ORTOPÉDICO, ART.DE MARROQUINERÍA, PARAGUAS Y SIMILARES Y PROD.DE CUERO N.C.P",5,mayorista,industria y deposito
"ENSEÑANZA INICIAL, JARDÍN DE INFANTES Y PRIMARIA",5,educacion,educacion
Distribución y venta al por mayor de carbón y sus derivados,5,mayorista,industria y deposito
"Fabricación de envases, recipientes y embalajes de madera (barriles, tambores, caja)",5,fabricacion,industria y deposito
"Fabricación y armado de carrocerías para automóviles, camiones y otros vehículos para transporte de carga y pasajeros (incluye casas rodantes)",5,fabricacion,industria y deposito
Aserraderos. Preparación y conservación de maderas (excepto las terciadas y conglomeradas),5,otro,otro
"ELABORACIÓN Y ENVASADO DE DULCES, MERMELADAS Y JALEAS",5,otro,otro
Reciclamiento de desperdicios y desechos metálicos,5,otro,otro
Fabricación y reparación de maquinaria y equipo para la construcción,5,fabricacion,industria y deposito
ALQUILER DE VIDEOS Y VIDEO JUEGOS,5,otro,otro
Venta al por mayor de motocicletas nuevas y usadas,5,mayorista,industria y deposito
